RecordID,StudentID,StudentName,Gender,Level,Department,CourseCode,CourseTitle,ExamDate,ExamStart,DurationMin,NumQuestions,Location,Seat,Invigilator,MalpracticeType,Evidence,ReportDetails,Penalty,Outcome,Grade
1,U2020/329258,Funke Iwu,Male,100,Mathematics,CSC303,Computer Networks,2024-10-08,11:15,90,25,Old Hall,D46,Mrs. P. Lawal,Bribery attempt,Yes,Programmable calculator with stored notes,Suspension (2 semesters),Confirmed,D
2,U2020/498382,Tolu Ogunjobi,Female,300,Statistics,POL204,Nigerian Government,2024-01-07,10:45,120,50,CBN Annex,E52,Dr. A. Musa,Collusion/whispering,Yes,Raised voice; disrupted hall,Warning,Confirmed,E
3,U2020/498591,Opeyemi Ekanem,Female,100,Biochemistry,MAC201,News Writing,2024-10-27,13:15,60,25,Auditorium,F23,Prof. H. Danladi,Impersonation,Yes,Identical answers with neighbor,Warning,Cleared (insufficient evidence),F
4,U2021/961722,Olamide Kalu,Female,200,Biochemistry,CSC301,Operating Systems,2024-09-07,10:45,150,50,Science LT1,B14,Dr. B. Yakubu,Bribery attempt,Yes,Scripts exchanged mid-exam,Suspension (2 semesters),Pending,D
5,U2024/518801,Joy Adeyemi,Male,400,Sociology,MEE201,Thermodynamics,2025-04-14,10:30,90,40,Old Hall,H06,Dr. A. Musa,Bribery attempt,Yes,Student observed using phone camera,Expulsion (severe cases),Confirmed,C
6,U2020/814825,Olamide Balogun,Female,400,Microbiology,CSC401,Distributed Systems,2024-03-06,14:45,180,60,Main Hall B,E28,Mr. T. Okeke,Bribery attempt,Yes,Raised voice; disrupted hall,Suspension (2 semesters),Confirmed,A
7,U2020/728038,Blessing Ogunbanjo,Male,200,Biochemistry,MTH101,Calculus I,2024-04-18,12:15,90,50,Main Hall B,F57,Dr. R. Hassan,Collusion/whispering,Yes,Name on script mismatched ID card,Suspension (2 semesters),Confirmed,B
8,U2023/322086,Chiamaka Nwachukwu,Male,100,Information Technology,POL204,Nigerian Government,2025-05-12,09:15,90,60,Science LT1,G43,Mrs. J. Obi,Bribery attempt,Yes,Raised voice; disrupted hall,Suspension (1 semester),Confirmed,F
9,U2020/340062,Kelechi Ojo,Female,100,Mechanical Engineering,ECO202,Macro Economics,2024-08-18,09:30,60,40,Main Hall B,J16,Dr. R. Hassan,Threat/harassment of invigilator,Yes,Raised voice; disrupted hall,Suspension (1 semester),Pending,D
10,U2020/806073,Zubair Adegoke,Male,400,Mechanical Engineering,CSC307,Database Systems,2025-04-29,14:15,60,25,Main Hall A,G47,Mrs. J. Obi,Unauthorized material (calculator),Yes,Student observed using phone camera,Expulsion (severe cases),Confirmed,D
11,U2020/153045,Zubair Oyeniyi,Male,400,Electrical Engineering,IFT212,Systems Programming,2025-03-08,10:30,150,40,Main Hall B,N55,Prof. H. Danladi,Use of mobile phone,Yes,Whispering repeatedly despite warnings,Score Cancelled + Repeat Course,On Appeal,E
12,U2022/543555,Hannah Ogunlade,Female,200,Political Science,MEE201,Thermodynamics,2025-02-14,08:15,150,25,Auditorium,D19,Prof. H. Danladi,Unauthorized material (calculator),Yes,Notes found under question paper,Suspension (1 semester),Confirmed,E
13,U2024/184002,Ayomide Ogunleye,Male,100,Mathematics,SOC203,Social Research Methods,2024-11-17,08:00,180,60,Sports Complex Hall,D26,Mrs. K. Adeyemi,Bribery attempt,No,Verbal threat reported by invigilator,Suspension (2 semesters),Confirmed,D
14,U2022/579434,Favour Abubakar,Male,100,Microbiology,MIC301,Microbiology Techniques,2024-03-24,14:30,120,40,New Hall,K37,Mrs. K. Adeyemi,Exam script exchange,Yes,Student observed using phone camera,Suspension (1 semester),Pending,E
15,U2024/946305,Zubair Oviawe,Male,300,Electrical Engineering,EEE203,Circuit Theory,2024-12-23,09:15,120,50,Sports Complex Hall,J20,Mrs. K. Adeyemi,Collusion/whispering,Yes,Whispering repeatedly despite warnings,Score Cancelled + Repeat Course,Confirmed,D
16,U2020/765095,Oma Ishola,Male,200,Business Administration,CSC303,Computer Networks,2024-10-15,11:30,90,50,Main Hall A,F50,Mr. T. Okeke,Bribery attempt,Yes,Identical answers with neighbor,Warning,On Appeal,C
17,U2020/423232,Joy Okon,Female,400,Biochemistry,ECO202,Macro Economics,2024-01-10,09:00,90,25,CBN Hall,L16,Mrs. K. Adeyemi,Exam script exchange,Yes,Scripts exchanged mid-exam,Score Cancelled (0),Pending,F
18,U2021/379766,Hauwa Udo,Female,200,Sociology,ACC201,Financial Accounting,2024-08-30,10:15,150,25,Main Hall A,H15,Prof. H. Danladi,Collusion/whispering,Yes,Raised voice; disrupted hall,Suspension (1 semester),Pending,D
19,U2024/447235,Amaka Udoh,Female,200,Computer Science,IFT211,Computer Organization & Architecture,2024-07-16,14:30,120,25,Auditorium,K17,Dr. A. Musa,Copying from neighbor,Yes,Student observed using phone camera,Suspension (1 semester),Confirmed,E
20,U2024/820221,Joseph Ogunwande,Male,300,Economics,BIO203,Biochemistry I,2025-06-07,09:45,180,40,Science LT2,G05,Mrs. J. Obi,Copying from neighbor,Yes,Verbal threat reported by invigilator,Suspension (1 semester),Confirmed,D
